,title,price,venue,category,month,day,time,location
36,Kịch IDECAF: MƯU BÀ TÚ,Từ 220.000 VND,Hồ Chí Minh,Sân khấu,Tháng 1,,08:00 PM - 11:00 PM,"Sân khấu kịch Idecaf
Số 28 Lê Thánh Tôn, Quận 1, Thành Phố Hồ Chí Minh"
37,Kịch IDECAF: ÁC NHÂN CỐC,Từ 220.000 VND,Hồ Chí Minh,Sân khấu,Tháng 1,,08:00 PM - 11:00 PM,"Sân khấu kịch IDECAF
Số 28 Lê Thánh Tôn, Quận 1, Thành Phố Hồ Chí Minh"
38,Kịch IDECAF: NGÔI NHÀ KHÔNG CÓ ĐÀN ÔNG,Từ 220.000 VND,Hồ Chí Minh,Sân khấu,Tháng 1,16                                      Thứ 5,08:00 PM - 11:00 PM,"Sân khấu IDECAF
Số 28 Lê Thánh Tôn, Quận 1, Thành Phố Hồ Chí Minh"
39,Formula 1 Vietnam Grand Prix 2020 - Hanoi Grand Prix,Từ 700.000 VND,Ha Noi,Thể thao,Tháng 4,03                                      Thứ 6,,
40,[HÀ NỘI] Honda Youth Fest - Đại nhạc hội Khinh Khí Cầu,Miễn phí,Ha Noi,Nhạc sống,Tháng 1,11                                      Thứ 7,07:30 AM - 10:00 PM,"Sân Vận Động Hàng Đẫy
9 Trịnh Hoài Đức, Cát Linh, Quận Đống Đa, Thành Phố Hà Nội"
41,Pop - rock : The Rodeo,Từ 100.000 VND,Ha Noi,Nhạc sống,Tháng 2,21                                      Thứ 6,08:00 PM - 09:30 PM,"Trung tâm Văn hóa Pháp - L'Espace
24 Tràng Tiền., Quận Hoàn Kiếm, Thành Phố Hà Nội"
42,Độc tấu piano : Maxime Zecchini,Từ 100.000 VND,Ha Noi,Nhạc sống,Tháng 2,29                                      Thứ 7,08:00 PM - 09:30 PM,"Trung tâm văn hóa Pháp - L'Espace
24 Tràng Tiền, Quận Hoàn Kiếm, Thành Phố Hà Nội"
43,KPOP SUPER CONCERT IN HANOI 2020,Từ 500.000 VND,Ha Noi,Nhạc sống,Tháng 1,11                                      Thứ 7,06:00 PM - 09:00 PM,"Mỹ Đình Stadium
Đường Lê Đức Thọ, Mỹ Đình, Quận Nam Từ Liêm, Thành Phố Hà Nội"
44,SEARCH INSIDE YOURSELF - Loại bỏ cảm xúc tiêu cực nơi công sở,Từ 119.000 VND,Ha Noi,Hội thảo,Tháng 1,01                                      Thứ 4,"Thứ 4, 01 Tháng 1 2020 - Thứ 7, 01 Tháng 2 2020 (12:00 AM - 12:00 AM)","Học viện Agile
68 Nguyễn Cơ Thạch, Quận Nam Từ Liêm, Thành Phố Hà Nội"
45,Vietnam Creators Bootcamp Expo,Miễn phí,Ha Noi,Cộng đồng,Tháng 1,05                                      Chủ nhật,08:00 AM - 05:00 PM,"Nhà thi đấu Cầu Giấy
35 Trần Quý Kiên, Quận Cầu Giấy, Thành Phố Hà Nội"
